ohhhhhh..such a sore pointit was bought to my attention by an English rag..such a bad loser..even Real Madrid fans have stood and clapped a Messi master class.'greasy knuckle dragger'..really showing your insecurities there.,"Sun Jun 25, 2017 7:24 pm",116,23046,World Football,Happy Anniversary England!!!!!!
"but if we are serious about protecting the safety of players and sending out a strong message, IMO it should be a 3 game suspension. I believe Messi got a 4 game ban for insulting an official which could be seen by many as being heavy handed compared to Naylor's punishment. 3 games should be","Sun Apr 09, 2017 2:28 pm",39,10862,World Football,LEG BREAKING TACKLE
"but if we are serious about protecting the safety of players and sending out a strong message, IMO it should be a 3 game suspension. I believe Messi got a 4 game ban for insulting an official which could be seen by many as being heavy handed compared to Naylor's punishment. I certainly wouldn't","Fri Apr 07, 2017 3:22 pm",39,10862,World Football,LEG BREAKING TACKLE
"but if we are serious about protecting the safety of players and sending out a strong message, IMO it should be a 3 game suspension. I believe Messi got a 4 game ban for insulting an official which could be seen by many as being heavy handed compared to Naylor's punishment.","Fri Apr 07, 2017 2:43 pm",39,10862,World Football,LEG BREAKING TACKLE
I thought he got suspended as a result of his actions in the prior game so he missed the 2-0 loss to Bolivia as part of his suspension. As a result Argentina may struggle to qualify for the World Cup if they don't get results in their last 4 games yes he did - but I still wonder if there just might,"Thu Mar 30, 2017 12:02 pm",3,1529,World Football,Messi
I thought he got suspended as a result of his actions in the prior game so he missed the 2-0 loss to Bolivia as part of his suspension. As a result Argentina may struggle to qualify for the World Cup if they don't get results in their last 4 games Don't think they'll struggle at all. I'm pretty sur,"Thu Mar 30, 2017 11:54 am",3,1529,World Football,Messi
I thought he got suspended as a result of his actions in the prior game so he missed the 2-0 loss to Bolivia as part of his suspension.As a result Argentina may struggle to qualify for the World Cup if they don't get results in their last 4 games,"Thu Mar 30, 2017 8:34 am",3,1529,World Football,Messi
Is he a bad loser.Lost in the WC so he retired.Got talked out of retirement by the Argentina fans.Gets beaten in a WC 0-2 and spits the chewy with the ref and gets a 4 game ban.Lucky Barca are up the top and not down the bottom?,"Wed Mar 29, 2017 3:16 pm",3,1529,World Football,Messi
"at this point in time. So yes Bomber, I agree with you that money does make a huge difference - just don't be a hypocrite about it. :roll: P.S. Messi and Co on another planet (fine line between pleasure and pain)[/quote] :lol: Talk about making mountains out of molehills! Ease up sunshine, belting","Wed Sep 14, 2016 3:27 pm",17,4326,World Football,Old Firm madness back
"at this point in time. So yes Bomber, I agree with you that money does make a huge difference - just don't be a hypocrite about it. :roll: P.S. Messi and Co on another planet (fine line between pleasure and pain) :lol: Talk about making mountains out of molehills! Ease up sunshine, belting Rangers","Wed Sep 14, 2016 2:19 pm",17,4326,World Football,Old Firm madness back
